Prime#,Prime Reciprocal,Pattern Length
1627,0.0006146281499692685,271
1637,0.0006108735491753207,409
1657,0.0006035003017501509,552
1663,0.0006013229104028864,1662
1667,0.0005998800239952009,833
1669,0.0005991611743559018,556
1693,0.0005906674542232723,423
1697,0.0005892751915144372,1696
1699,0.0005885815185403178,566
1709,0.0005851375073142189,1708
1721,0.0005810575246949448,430
1723,0.0005803830528148578,287
1733,0.0005770340450086555,866
1741,0.0005743825387708214,1740
1747,0.0005724098454493417,291
1753,0.0005704506560182544,584
1759,0.0005685048322910744,879
1777,0.0005627462014631402,1776
1783,0.0005608524957936063,1782
1787,0.0005595970900951316,893
1789,0.0005589714924538849,1788
1801,0.000555247084952804,900
1811,0.0005521811154058532,1810
1823,0.0005485463521667581,1822
1831,0.0005461496450027307,305
1847,0.0005414185165132648,1846
1861,0.0005373455131649651,1860
1867,0.0005356186395286556,933
1871,0.0005344735435595938,935
1873,0.0005339028296849973,1872
1877,0.0005327650506126798,938
1879,0.0005321979776476849,313
1889,0.0005293806246691371,118
1901,0.0005260389268805891,380
1907,0.0005243838489774515,953
1913,0.0005227391531625719,1912
1931,0.0005178663904712584,386
1933,0.0005173305742369374,21
1949,0.000513083632632119,1948
1951,0.0005125576627370579,195
1973,0.0005068423720223011,986
1979,0.0005053057099545225,1978
1987,0.0005032712632108706,331
1993,0.0005017561465127947,664
1997,0.000500751126690035,998
1999,0.0005002501250625312,999
2003,0.0004992511233150275,1001
2011,0.0004972650422675286,670
2017,0.0004957858205255329,2016
2027,0.000493339911198816,1013
2029,0.0004928536224741252,2028
2039,0.0004904364884747426,1019
2053,0.0004870920603994155,342
2063,0.0004847309743092584,2062
2069,0.0004833252779120348,2068
2081,0.0004805382027871216,1040
2083,0.00048007681228996637,1041
2087,0.0004791566842357451,298
2089,0.0004786979415988511,1044
2099,0.0004764173415912339,2098
2111,0.0004737091425864519,1055
2113,0.000473260766682442,2112
2129,0.0004697040864255519,532
2131,0.0004692632566870014,710
2137,0.0004679457182966776,2136
2141,0.00046707146193367583,2140
2143,0.0004666355576294914,2142
2153,0.00046446818392940084,2152
2161,0.00046274872744099955,30
2179,0.0004589261128958238,2178
2203,0.00045392646391284613,1101
2207,0.00045310376076121433,2206
2213,0.00045187528242205153,553
2221,0.00045024763619990995,2220
2237,0.0004470272686633885,1118
2239,0.00044662795891022776,1119
2243,0.00044583147570218456,1121
2251,0.000444247001332741,2250
2267,0.0004411116012351125,1133
2269,0.00044072278536800354,2268
2273,0.0004399472063352398,2272
2281,0.00043840420868040335,228
2287,0.00043725404459991256,762
2293,0.0004361098996947231,1146
2297,0.00043535045711797995,2296
2309,0.00043308791684711995,2308
2311,0.00043271311120726956,231
2333,0.0004286326618088298,583
2339,0.00042753313381787086,2338
2341,0.00042716787697565144,2340
2347,0.00042607584149978694,1173
2351,0.0004253509145044662,1175
2357,0.00042426813746287653,1178
2371,0.00042176296921130323,2370
2377,0.00042069835927639884,264
2381,0.00041999160016799666,476
2383,0.000419639110365086,2382
2389,0.0004185851820845542,2388
2393,0.0004178854993731718,184
2399,0.00041684035014589413,1199
2411,0.00041476565740356696,2410
2417,0.0004137360364087712,2416
2423,0.0004127115146512588,2422
2437,0.0004103405826836274,1218
2441,0.00040966816878328555,305
2447,0.0004086636697997548,2446
2459,0.00040666937779585197,2458
2467,0.00040535062829347385,137
2473,0.0004043671653861706,2472
2477,0.0004037141703673799,619
2503,0.00039952057530962844,278
2521,0.0003966679888932963,630
2531,0.0003951007506914263,46
2539,0.00039385584875935406,2538
2543,0.00039323633503735744,2542
2549,0.00039231071008238524,2548
2551,0.0003920031360250882,425
2557,0.00039108330074305825,639
2579,0.00038774718883288094,2578
2591,0.00038595137012736397,259
2593,0.0003856536829926726,2592
2609,0.0003832886163280951,1304
2617,0.00038211692777990065,2616
2621,0.00038153376573826786,2620
2633,0.00037979491074819596,2632
2647,0.00037778617302606723,882
2657,0.0003763643206624012,2656
2659,0.000376081233546446,886
2663,0.0003755163349605708,2662
2671,0.00037439161362785476,1335
2677,0.00037355248412401944,223
2683,0.0003727171077152441,447
2687,0.0003721622627465575,2686
2689,0.0003718854592785422,42
2693,0.0003713330857779428,1346
2699,0.0003705075954057058,2698
2707,0.0003694126339120798,1353
2711,0.00036886757654002215,1355
2713,0.00036859565057132326,2712
2719,0.0003677822728944465,1359
2729,0.00036643459142543056,682
2731,0.0003661662394727206,2730
2741,0.00036483035388544326,2740
2749,0.0003637686431429611,916
2753,0.0003632401017072285,2752
2767,0.0003614022406938923,2766
2777,0.00036010082823190496,2776
2789,0.00035855145213338117,2788
2791,0.00035829451809387314,31
2797,0.0003575259206292456,699
2801,0.0003570153516601214,1400
2803,0.00035676061362825543,1401
2819,0.000354735721887194,2818
2833,0.00035298270384751147,2832
2837,0.00035248501938667606,709
2843,0.00035174111853675694,1421
2851,0.00035075412136092597,2850
2857,0.00035001750087504374,408
2861,0.0003495281370150297,2860
2879,0.0003473428273706148,1439
2887,0.00034638032559750607,2886
2897,0.00034518467380048324,2896
2903,0.0003444712366517396,2902
2909,0.00034376074252320387,2908
2917,0.00034281796366129587,1458
2927,0.00034164673727365904,2926
2939,0.0003402517863218782,2938
2953,0.0003386386725364037,984
2957,0.00033818058843422386,1478
2963,0.0003374957813027337,1481
2969,0.0003368137420006736,371
2971,0.0003365870077415012,2970
2999,0.00033344448149383126,1499
3001,0.0003332222592469177,1500
3011,0.00033211557622052476,3010
3019,0.0003312355084465055,3018
3023,0.0003307972213033411,3022
3037,0.00032927230819888045,253
3041,0.0003288391976323578,380
3049,0.00032797638570022957,508
3061,0.0003266906239790918,204
3067,0.00032605151613955004,1533
3079,0.0003247807729782397,1539
3083,0.0003243593902043464,1541
3089,0.0003237293622531564,1544
3109,0.000321646831778707,148
3119,0.0003206155819172812,1559
3121,0.0003204101249599487,156
3137,0.000318775900541919,3136
3163,0.0003161555485298767,1581
3167,0.00031575623618566466,3166
3169,0.0003155569580309246,72
3181,0.00031436655139893113,636
3187,0.00031377470975839345,177
3191,0.00031338138514572234,29
3203,0.00031220730565095225,1601
3209,0.0003116235587410408,1604
3217,0.00031084861672365556,1072
3221,0.0003104625892579944,3220
3229,0.0003096934035305048,1076
3251,0.00030759766225776686,3250
3253,0.0003074085459575776,542
3257,0.00030703101013202335,3256
3259,0.0003068425897514575,3258
3271,0.0003057169061449098,1635
3299,0.0003031221582297666,3298
3301,0.0003029385034837928,3300
3307,0.0003023888720895071,1653
3313,0.00030184123151222455,3312
3319,0.00030129557095510696,553
3323,0.0003009328919650918,1661
3329,0.00030039050765995795,832
3331,0.0003002101471029721,3330
3343,0.0002991325157044571,3342
3347,0.00029877502240812666,1673
3359,0.00029770765108663293,1679
3361,0.0002975304968759298,1680
3371,0.0002966478789676654,3370
3373,0.0002964719833975689,843
3389,0.00029507229271171436,3388
3391,0.0002948982601002654,1695
3407,0.000293513354857646,3406
3413,0.0002929973630237328,1706
3433,0.00029129041654529564,3432
3449,0.00028993911278631486,431
3457,0.0002892681515765114,384
3461,0.0002889338341519792,3460
3463,0.00028876696505919725,3462
3467,0.00028843380444188056,1733
3469,0.0002882675122513693,3468
3491,0.0002864508736751647,698
3499,0.0002857959416976279,318
3511,0.0002848191398461977,1755
3517,0.0002843332385555871,879
3527,0.0002835270768358378,3526
3529,0.00028336639274582036,1764
3533,0.0002830455703368242,1766
3539,0.00028256569652444194,3538
3541,0.0002824060999717594,20
3547,0.000281928390188892,1773
3557,0.000281135788585887,254
3559,0.0002809778027535825,1779
3571,0.0002800336040324839,3570
3581,0.00027925160569673273,3580
3583,0.00027909572983533354,1194
3593,0.00027831895352073476,3592
3607,0.0002772387025228722,3606
3613,0.0002767783005812344,602
3617,0.0002764722145424385,3616
3623,0.0002760143527463428,3622
3631,0.0002754062241806665,1815
3637,0.00027495188342040145,909
3643,0.0002744990392533626,1821
3659,0.00027329871549603714,3658
3671,0.00027240533914464724,367
3673,0.0002722570106180234,3672
3677,0.0002719608376393799,1838
3691,0.000270929287455974,1230
3697,0.0002704895861509332,1232
3701,0.0002701972439881113,3700
3709,0.00026961445133459155,3708
3719,0.00026888948642108095,1859
3727,0.00026831231553528306,3726
3733,0.0002678810608090008,933
3739,0.0002674511901577962,1246
3761,0.00026588673225206064,1880
3767,0.0002654632333421821,3766
3769,0.0002653223666755107,1884
3779,0.0002646202699126753,3778
3793,0.0002636435539151068,1264
3797,0.0002633658151171978,949
3803,0.00026295030239284776,1901
3821,0.00026171159382360636,3820
3823,0.0002615746795710175,1274
3833,0.00026089225150013044,3832
3847,0.0002599428125812321,3846
3851,0.00025967281225655674,770
3853,0.0002595380223202699,963
3863,0.0002588661661920787,3862
3877,0.00025793139025019347,969
3881,0.0002576655501159495,1940
3889,0.00025713551041398817,1944
3907,0.0002559508574353724,1953
3911,0.00025568908207619537,1955
3917,0.0002552974214960429,1958
3919,0.00025516713447307985,653
3923,0.0002549069589599796,1961
3929,0.00025451768897938407,491
3931,0.0002543881963876876,1310
3943,0.000253613999492772,3942
3947,0.0002533569799847986,1973
3967,0.00025207965717166626,3966
3989,0.000250689395838556,3988
4001,0.00024993751562109475,500
4003,0.0002498126405196103,87
4007,0.0002495632642874969,4006
4013,0.00024919013207077,34
4019,0.0002488181139586962,4018
4021,0.0002486943546381497,268
4027,0.00024832381425378696,2013
4049,0.0002469745616201531,2024
4051,0.00024685262898049864,4050
4057,0.00024648755237860487,4056
4073,0.00024551927326295114,4072
4079,0.00024515812699190976,2039
4091,0.0002444390124663896,4090
4093,0.0002443195699975568,22
4099,0.00024396194193705782,4098
4111,0.00024324981756263683,2055
4127,0.000242306760358614,4126
4129,0.0002421893921046258,2064
4133,0.00024195499637067505,1033
4139,0.00024160425223483932,4138
4153,0.00024078979051288225,4152
4157,0.00024055809477988935,2078
4159,0.00024044241404183698,693
4177,0.00023940627244433804,4176
4201,0.00023803856224708403,75
4211,0.00023747328425552126,4210
4217,0.00023713540431586437,4216
4219,0.00023702299123014932,4218
4229,0.00023646252069047056,4228
4231,0.0002363507445048452,2115
4241,0.0002357934449422306,1060
4243,0.00023568230025925054,2121
4253,0.00023512814483893723,1063
4259,0.00023479690068091102,4258
4261,0.0002346866932644919,4260
4271,0.00023413720440177945,2135
4273,0.0002340276152586005,1424
4283,0.00023348120476301658,2141
4289,0.00023315458148752622,2144
4297,0.00023272050267628578,1432
4327,0.00023110700254217703,4326
4337,0.00023057412958266084,4336
4339,0.00023046784973496196,4338
4349,0.00022993791676247414,4348
4357,0.00022951572182694515,242
4363,0.00022920009168003668,2181
4373,0.000228675966155957,1093
4391,0.0002277385561375541,2195
4397,0.00022742779167614282,314
4409,0.00022680880018144704,551
4421,0.00022619316896629722,4420
4423,0.00022609088853719196,4422
4441,0.00022517451024544022,2220
4447,0.00022487069934787497,4446
4451,0.00022466861379465288,4450
4457,0.0002243661655822302,4456
4463,0.00022406453058480843,4462
4481,0.0002231644722160232,2240
4483,0.00022306491188935982,249
4493,0.00022256843979523704,1123
4507,0.00022187708009762592,751
4513,0.00022158209616662973,1504
4517,0.00022138587558113792,2258
4519,0.0002212878955521133,753
4523,0.00022109219544550078,2261
4547,0.00021992522542335605,2273
4549,0.00021982853374367993,1516
4561,0.00021925016443762334,2280
4567,0.0002189621195533173,4566
4583,0.0002181976871045167,4582
4591,0.00021781746896101068,2295
4597,0.00021753317380900588,2298
4603,0.00021724961981316532,2301
4621,0.00021640337589266391,924
4637,0.00021565667457407807,61
4639,0.0002155636990730761,2319
4643,0.00021537798836958864,2321
4649,0.00021510002151000216,7
4651,0.00021500752526338422,4650
4657,0.00021473051320592657,1552
4663,0.0002144542140253056,222
4673,0.00021399529210357372,4672
4679,0.00021372088053002778,2339
4691,0.00021317416329140907,4690
4703,0.00021263023601956197,4702
4721,0.00021181952976064393,2360
4723,0.00021172983273343214,2361
4729,0.00021146119687037428,1182
4733,0.00021128248468201986,1183
4751,0.00021048200378867606,2375
4759,0.0002101281781886951,2379
4783,0.0002090738030524775,4782
4787,0.00020889910173386254,2393
4789,0.00020881186051367718,228
4793,0.00020863759649488838,4792
4799,0.00020837674515524068,2399
4801,0.00020828993959591752,800
4813,0.00020777062123415748,802
4817,0.00020759809009757111,4816
4831,0.00020699648105982198,805
4861,0.0002057189878625797,972
4871,0.00020529665366454526,2435
4877,0.0002050440844781628,1219
4889,0.00020454080589077522,2444
4903,0.00020395676116663266,1634
4909,0.00020370747606437156,1636
4919,0.00020329335230737954,2459
